# Cable Size Comparison - 2025-03-10 21:08:29
# System Voltage: 415V
# Current: 136.0 A
# Length: 123.0 m
# Installation Method: D2 - Underground in conduit
# Temperature: 25.0 °C
# Grouping Factor: 1.00
# ADMD Enabled: No
# Diversity Factor: 1.270

Size (mm²),Material,Cores,mV/A/m,Rating (A),Voltage Drop (V),Drop (%),Status
1.5,Al,3C+E,29.0,16.0,750.0426170088223,180.73316072501743,SEVERE
2.5,Al,3C+E,18.0,25.0,465.54369331582075,112.1792032086315,SEVERE
4.0,Al,3C+E,11.0,32.0,284.4989236930016,68.55395751638592,SEVERE
6.0,Al,3C+E,7.3,40.0,188.80383117808285,45.494899079056104,SEVERE
10.0,Al,3C+E,4.4,63.0,113.79956947720063,27.421583006554368,SEVERE
16.0,Al,3C+E,2.8,85.0,72.41790784912766,17.45009827689823,SEVERE
25.0,Al,3C+E,1.8,112.0,46.55436933158207,11.21792032086315,SEVERE
35.0,Al,3C+E,1.3,138.0,33.62260007280927,8.101831342845607,SEVERE
50.0,Al,3C+E,0.98,168.0,25.34626774719468,6.107534396914381,WARNING
70.0,Al,3C+E,0.69,213.0,17.84584157710646,4.300202789664207,SUBMAIN
95.0,Al,3C+E,0.52,258.0,13.449040029123712,3.240732537138244,SUBMAIN
120.0,Al,3C+E,0.41,299.0,10.604050792193693,2.5551929619743836,SUBMAIN
150.0,Al,3C+E,0.34,344.0,8.793603095965503,2.1189405050519285,SUBMAIN
185.0,Al,3C+E,0.28,392.0,7.241790784912768,1.7450098276898234,OK
240.0,Al,3C+E,0.22,461.0,5.689978473860031,1.3710791503277184,OK
300.0,Al,3C+E,0.18,530.0,4.655436933158207,1.1217920320863148,OK
400.0,Al,3C+E,0.15,599.0,3.8795307776318393,0.9348266934052625,OK
