# Cable Size Comparison - 2025-03-10 21:10:54
# System Voltage: 415V
# Current: 136.0 A
# Length: 123.0 m
# Installation Method: D1 - Underground direct buried
# Temperature: 25.0 °C
# Grouping Factor: 1.00
# ADMD Enabled: No
# Diversity Factor: 1.270

Size (mm²),Material,Cores,mV/A/m,Rating (A),Voltage Drop (V),Drop (%),Status
1.5,Al,3C+E,29.0,16.0,717.4320684432214,172.87519721523407,SEVERE
2.5,Al,3C+E,18.0,25.0,445.30266317165473,107.30184654738667,SEVERE
4.0,Al,3C+E,11.0,32.0,272.1294052715668,65.57335066784742,SEVERE
6.0,Al,3C+E,7.3,40.0,180.59496895294885,43.51685998866237,SEVERE
10.0,Al,3C+E,4.4,63.0,108.85176210862672,26.229340267138966,SEVERE
16.0,Al,3C+E,2.8,85.0,69.26930316003516,16.691398351815703,SEVERE
25.0,Al,3C+E,1.8,112.0,44.53026631716547,10.730184654738666,SEVERE
35.0,Al,3C+E,1.3,138.0,32.160747895730616,7.749577806200149,SEVERE
50.0,Al,3C+E,0.98,168.0,24.24425610601231,5.841989423135496,WARNING
70.0,Al,3C+E,0.69,213.0,17.06993542158009,4.113237450983155,SUBMAIN
95.0,Al,3C+E,0.52,258.0,12.864299158292248,3.0998311224800594,SUBMAIN
120.0,Al,3C+E,0.41,299.0,10.143005105576577,2.444097615801585,SUBMAIN
150.0,Al,3C+E,0.34,344.0,8.4112725265757,2.026812657006193,SUBMAIN
185.0,Al,3C+E,0.28,392.0,6.926930316003518,1.6691398351815705,OK
240.0,Al,3C+E,0.22,461.0,5.4425881054313345,1.311467013356948,OK
300.0,Al,3C+E,0.18,530.0,4.453026631716547,1.0730184654738668,OK
400.0,Al,3C+E,0.15,599.0,3.7108555264304557,0.8941820545615555,OK
