cable_size,drop_percentage,current,type,status
185,0.1702448612380316,136.04598270856266,current,
1.5,18.077049574321585,,comparison,SEVERE
2.5,11.069371284769721,,comparison,SEVERE
4,6.814694410503977,,comparison,WARNING
6,4.65327422277272,,comparison,SUBMAIN
10,2.635465892160218,,comparison,SUBMAIN
16,1.7488341751327516,,comparison,OK
25,1.057529148249557,,comparison,OK
35,0.7490546358733724,,comparison,OK
50,0.5132106601696413,,comparison,OK
70,0.37984637926676046,,comparison,OK
95,0.2861091971863216,,comparison,OK
120,0.23364291976420581,,comparison,OK
150,0.17436462403051728,,comparison,OK
240,0.11586764426073508,,comparison,OK
300,0.09089191764937475,,comparison,OK
400,0.06685436728927406,,comparison,OK
500,0.05112015855062593,,comparison,OK
630,0.041691865748749064,,comparison,OK
